Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
51.175, 14.699, -96.387, 1448.128, 5.746, 0.005, 42.531, -9.065
51.247, 14.256, -88.584, 1560.484, 5.759, 0.005, 42.593, -9.101
51.316, 13.855, -80.238, 1669.332, 5.772, 0.005, 42.653, -9.136
51.383, 13.498, -71.371, 1773.404, 5.785, 0.005, 42.712, -9.168
51.449, 13.188, -62.014, 1871.426, 5.799, 0.005, 42.770, -9.199
51.514, 12.927, -52.203, 1962.155, 5.812, 0.005, 42.827, -9.229
51.577, 12.717, -41.981, 2044.399, 5.826, 0.005, 42.884, -9.257
51.640, 12.560, -31.396, 2117.054, 5.840, 0.005, 42.941, -9.285
51.703, 12.458, -20.500, 2179.126, 5.854, 0.005, 42.997, -9.311
51.765, 12.411, -9.351, 2229.765, 5.867, 0.005, 43.054, -9.337
51.827, 12.421, 1.990, 2268.283, 5.881, 0.005, 43.111, -9.361
51.889, 12.488, 13.461, 2294.180, 5.895, 0.005, 43.169, -9.385
51.952, 12.613, 24.997, 2307.150, 5.909, 0.005, 43.227, -9.409
52.016, 12.796, 36.532, 2307.103, 5.923, 0.005, 43.287, -9.432
52.081, 13.036, 48.003, 2294.155, 5.936, 0.005, 43.348, -9.454
52.148, 13.333, 59.346, 2268.638, 5.950, 0.005, 43.411, -9.477
52.216, 13.685, 70.502, 2231.075, 5.964, 0.005, 43.476, -9.498
52.287, 14.092, 81.413, 2182.189, 5.977, 0.005, 43.543, -9.520
52.360, 14.552, 92.027, 2122.855, 5.990, 0.005, 43.612, -9.542
52.435, 15.064, 102.297, 2054.099, 6.003, 0.005, 43.684, -9.563
52.513, 15.625, 112.183, 1977.066, 6.016, 0.005, 43.760, -9.584
52.594, 16.233, 121.648, 1892.977, 6.029, 0.005, 43.838, -9.605
52.679, 16.886, 130.663, 1803.128, 6.042, 0.005, 43.920, -9.626
52.767, 17.582, 139.207, 1708.828, 6.054, 0.005, 44.005, -9.646
52.858, 18.319, 147.264, 1611.399, 6.066, 0.005, 44.095, -9.666
52.954, 19.093, 154.825, 1512.142, 6.078, 0.005, 44.188, -9.686
53.053, 19.902, 161.887, 1412.298, 6.090, 0.005, 44.286, -9.706
53.157, 20.745, 168.452, 1313.053, 6.101, 0.005, 44.388, -9.725
53.265, 21.617, 174.530, 1215.525, 6.112, 0.005, 44.494, -9.744
53.378, 22.518, 180.133, 1120.707, 6.123, 0.005, 44.605, -9.763
53.495, 23.444, 185.281, 1029.529, 6.133, 0.005, 44.721, -9.781
53.617, 24.394, 189.995, 942.797, 6.143, 0.005, 44.842, -9.799
53.744, 25.366, 194.301, 861.203, 6.153, 0.005, 44.967, -9.816
53.875, 26.357, 198.228, 785.374, 6.163, 0.005, 45.098, -9.832
54.012, 27.366, 201.807, 715.786, 6.172, 0.005, 45.234, -9.848
54.154, 28.391, 205.071, 652.868, 6.181, 0.005, 45.375, -9.863
54.301, 29.431, 208.056, 596.935, 6.190, 0.005, 45.521, -9.877
54.454, 30.485, 210.797, 548.246, 6.198, 0.005, 45.673, -9.891
54.612, 31.552, 213.332, 506.972, 6.206, 0.005, 45.831, -9.904
54.775, 32.631, 215.698, 473.263, 6.213, 0.005, 45.993, -9.916
54.943, 33.720, 217.934, 447.175, 6.220, 0.005, 46.161, -9.927
55.117, 34.821, 220.078, 428.779, 6.227, 0.005, 46.335, -9.937
55.297, 35.932, 222.168, 418.091, 6.233, 0.005, 46.515, -9.947
55.482, 37.053, 224.244, 415.119, 6.240, 0.005, 46.700, -9.956
55.673, 38.184, 226.343, 419.864, 6.245, 0.005, 46.890, -9.963
55.870, 39.327, 228.505, 432.327, 6.251, 0.005, 47.087, -9.970
56.072, 40.481, 230.767, 452.544, 6.255, 0.005, 47.289, -9.976
56.281, 41.647, 233.170, 480.514, 6.260, 0.005, 47.497, -9.982
56.495, 42.825, 235.752, 516.318, 6.264, 0.005, 47.712, -9.986
56.715, 44.018, 238.552, 560.038, 6.268, 0.005, 47.932, -9.990
56.941, 45.226, 241.611, 611.791, 6.271, 0.005, 48.158, -9.993
57.173, 46.451, 244.970, 671.755, 6.274, 0.005, 48.390, -9.995
57.412, 47.694, 248.670, 740.130, 6.277, 0.005, 48.628, -9.997
57.656, 48.958, 252.756, 817.181, 6.279, 0.005, 48.873, -9.998
57.908, 50.245, 257.272, 903.239, 6.281, 0.005, 49.124, -9.999
58.165, 51.556, 262.266, 998.667, 6.282, 0.005, 49.382, -10.000
58.430, 52.895, 267.785, 1103.905, 6.283, 0.005, 49.647, -10.000
