SuperstructureState, PDPVoltage, PDPTotalPower, PDPTemp, timestamp
IDLE, 0.0, 0.0, 0.0, 584.848124
IDLE, 0.0, 0.0, 0.0, 584.86134
IDLE, 0.0, 0.0, 0.0, 584.888523
IDLE, 0.0, 0.0, 0.0, 584.905133
IDLE, 0.0, 0.0, 0.0, 584.922201
IDLE, 0.0, 0.0, 0.0, 584.930096
IDLE, 0.0, 0.0, 0.0, 584.940642
IDLE, 0.0, 0.0, 0.0, 584.9652
IDLE, 0.0, 0.0, 0.0, 584.986945
IDLE, 0.0, 0.0, 0.0, 585.009728
IDLE, 0.0, 0.0, 0.0, 585.030597
IDLE, 0.0, 0.0, 0.0, 585.052455
IDLE, 0.0, 0.0, 0.0, 585.070392
IDLE, 0.0, 0.0, 0.0, 585.091883
IDLE, 0.0, 0.0, 0.0, 585.112717
IDLE, 0.0, 0.0, 0.0, 585.135658
IDLE, 0.0, 0.0, 0.0, 585.158429
IDLE, 0.0, 0.0, 0.0, 585.182061
IDLE, 0.0, 0.0, 0.0, 585.209399
IDLE, 0.0, 0.0, 0.0, 585.231551
IDLE, 0.0, 0.0, 0.0, 585.253742
IDLE, 0.0, 0.0, 0.0, 585.282577
IDLE, 0.0, 0.0, 0.0, 585.299648
IDLE, 0.0, 0.0, 0.0, 585.323311
IDLE, 0.0, 0.0, 0.0, 585.345583
IDLE, 0.0, 0.0, 0.0, 585.371205
IDLE, 0.0, 0.0, 0.0, 585.393215
IDLE, 0.0, 0.0, 0.0, 585.414981
IDLE, 0.0, 0.0, 0.0, 585.446434
IDLE, 0.0, 0.0, 0.0, 585.467437
IDLE, 0.0, 0.0, 0.0, 585.49115
IDLE, 0.0, 0.0, 0.0, 585.513402
IDLE, 0.0, 0.0, 0.0, 585.540446
IDLE, 0.0, 0.0, 0.0, 585.564976
IDLE, 0.0, 0.0, 0.0, 585.586627
IDLE, 0.0, 0.0, 0.0, 585.609695
IDLE, 0.0, 0.0, 0.0, 585.628239
IDLE, 0.0, 0.0, 0.0, 585.650779
IDLE, 0.0, 0.0, 0.0, 585.680249
IDLE, 0.0, 0.0, 0.0, 585.703788
IDLE, 0.0, 0.0, 0.0, 585.730672
IDLE, 0.0, 0.0, 0.0, 585.753895
IDLE, 0.0, 0.0, 0.0, 585.781469
IDLE, 0.0, 0.0, 0.0, 585.801799
IDLE, 0.0, 0.0, 0.0, 585.824984
IDLE, 0.0, 0.0, 0.0, 585.848131
IDLE, 0.0, 0.0, 0.0, 585.8726
IDLE, 0.0, 0.0, 0.0, 585.893898
IDLE, 0.0, 0.0, 0.0, 585.926343
IDLE, 0.0, 0.0, 0.0, 585.942951
IDLE, 0.0, 0.0, 0.0, 585.970806
IDLE, 0.0, 0.0, 0.0, 585.991042
IDLE, 0.0, 0.0, 0.0, 586.014032
IDLE, 0.0, 0.0, 0.0, 586.038199
IDLE, 0.0, 0.0, 0.0, 586.061477
IDLE, 0.0, 0.0, 0.0, 586.089159
IDLE, 0.0, 0.0, 0.0, 586.105849
IDLE, 0.0, 0.0, 0.0, 586.124196
IDLE, 0.0, 0.0, 0.0, 586.132551
IDLE, 0.0, 0.0, 0.0, 586.152139
IDLE, 0.0, 0.0, 0.0, 586.183754
IDLE, 0.0, 0.0, 0.0, 586.214057
IDLE, 0.0, 0.0, 0.0, 586.237511
IDLE, 0.0, 0.0, 0.0, 586.262441
IDLE, 0.0, 0.0, 0.0, 586.289686
